objectid,facilityname,facilitytype,landline,address,street,landmark,locality,subdistrict,district,state,posatalcode,country,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
169213,Bhadiyad,Primary Health Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382463,India,POINT (72.1671159996487 22.281769999921835),,,,,
169215,Pipli,Primary Health Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382465,India,POINT (72.23567392014954 22.386676020079573),,,,,
169216,Transad,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.45532699999886 22.6794279997185),,,,,
169217,Shiyal,Primary Health Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.15588360008337 22.686931569818064),,,,,
169218,Ambaliyara,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.49886493990016 22.76782201021538),,,,,
169220,Bhangadh,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382455,India,POINT (72.2105669996985 22.125001000064987),,,,,
169221,Sandhida,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382455,India,POINT (72.15478099981883 22.18791199973835),,,,,
169223,Ambli,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382463,India,POINT (72.23132503033206 22.3290720202973),,,,,
169228,Simej,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.40909916008216 22.614426840021945),,,,,
169229,Mithapur,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.12264212032424 22.615073779613926),,,,,
169230,Rupagath,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382240,India,POINT (72.3426767003017 22.62210528028742),,,,,
169231,Koth 1,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382240,India,POINT (72.30183132032735 22.639178379838338),,,,,
169232,Pisawada,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.47742598987449 22.643565989597455),,,,,
169233,Ambareli,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.4128059997116 22.649319000005974),,,,,
169234,Vautha,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.53755797980995 22.660313989691932),,,,,
169235,Sarndi,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.36751997958991 22.690411009695193),,,,,
169236,Sahij,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.5131579301812 22.69595403028254),,,,,
169237,Kalyangarh,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382240,India,POINT (72.27136482002419 22.715742559613513),,,,,
169238,Sathal,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.50365080979773 22.732037830011365),,,,,
169239,Keshardi,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382240,India,POINT (72.21098099997526 22.75032999961718),,,,,
169240,Chiyada,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.35449300031014 22.754186000366207),,,,,
169241,Devadthal,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.12334191960868 22.771761209723827),,,,,
169242,Kerala,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.33416283994133 22.77447613983021),,,,,
169243,Chandisar,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.48695799987955 22.796263990303995),,,,,
169528,Dholera,Primary Health Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382455,India,POINT (72.19265900006792 22.24934499991286),,,,,
169537,Gamph,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382465,India,POINT (72.16370693985787 22.35826194034163),,,,,
169538,Gundi,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382230,India,POINT (72.22336198995447 22.553179970284663),,,,,
169539,Rehtal,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.19005899985288 22.88805099986829),,,,,
169540,Ogan,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.17109027043315 23.029600139883645),,,,,
169541,Virochannagar,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.22595632000343 23.096496999892246),,,,,
169604,Vithlapur,Primary Health Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382120,India,POINT (72.05452200006532 23.36511999966066),,,,,
169607,Sitapur,Primary Health Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.99483499958902 23.454017000334375),,,,,
169608,Dharnoj,Primary Health Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.00999999978774 23.499999999820503),,,,,
169615,Vanpradi,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.96654571998886 23.378054440106325),,,,,
169616,Jalisana,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382120,India,POINT (72.01397199963115 23.398643999626376),,,,,
169814,Viramgam,Community Health Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.04367699986456 23.129507000292975),,,,,
169816,Mandal,Community Health Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.9179168198616 23.290032719697173),,,,,
169821,Goraiya,Primary Health Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (71.92743299975473 23.133041999944165),,,,,
169823,Trent,Primary Health Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382150,India,POINT (72.00762600042681 23.219341000043276),,,,,
169827,Vani,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (71.9794184100253 23.066712589826007),,,,,
169830,Viramgam 2,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.0560050000218 23.120371000203484),,,,,
169832,Bhojva,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.02665708011381 23.15395708972529),,,,,
169833,Dhakdi,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (71.98089700015207 23.182667000031547),,,,,
169836,Ukhlod,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.0415720001172 23.22047000038259),,,,,
169839,Andala,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.04890451030192 23.283309530168626),,,,,
169841,Ribadi,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.01493800027697 23.29219500005547),,,,,
169842,Solgam,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (72.0212785404193 23.32502604018496),,,,,
169843,Dalod,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.9714319999756 23.358794000391768),,,,,
169844,Vinzuvada,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382130,India,POINT (71.92503799957912 23.360431999855184),,,,,
173859,Dhandhuka,Community Health Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.97516851994203 22.375047659812406),,,,,
173865,Kumarkhan,Primary Health Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.02109100003577 22.906244000152803),,,,,
173867,Karakthal,Primary Health Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.11258991031121 23.052976200167016),,,,,
173871,Akru,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382250,India,POINT (71.99608699956681 22.26985600020436),,,,,
173872,Tagdi,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382250,India,POINT (71.9458038895731 22.296516939847294),,,,,
173873,Kharad,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (72.01705499971993 22.31068111007726),,,,,
173874,Rojka,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (72.03662399958218 22.34707899974567),,,,,
173875,Kotda,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.94228499995899 22.377846999586993),,,,,
173876,Dhandhuka-2,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.98666999996925 22.381463000081553),,,,,
173877,Dhandhuka-1,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.98663425959737 22.381569089961904),,,,,
173878,Vasna,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.954023050418 22.392628060159215),,,,,
173879,Khadol,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (72.04421099979196 22.40670399959995),,,,,
173880,Advak,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (72.0020446400058 22.43989594969888),,,,,
173881,Zanzarka,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.95307800028122 22.442984999790514),,,,,
173882,Bajarda,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.9772659998922 22.491414999658367),,,,,
173892,Dharji,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.0991091398791 22.78193762990923),,,,,
173894,Shahpur,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.01655299957962 22.875799999860625),,,,,
173895,Kamijla,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.01199300028046 22.939832000107522),,,,,
179863,Upardal,Primary Health Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.14477000001939 22.84867999997575),,,,,
179864,Aslali,Primary Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382427,India,POINT (72.59399283012439 22.91493855992876),,,,,
179865,Lambha  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382405,India,POINT (72.5758300000073 22.93417299997024),2.0,1302546.0,"Lambha, Ahmedabad (M.Corp.) Ward No. 46",Lambha,46
179866,Vekriya,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382110,India,POINT (72.06448820986465 22.821004609694974),,,,,
179867,Vasai,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.54170160009343 22.847942309953396),,,,,
179868,Nandej,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.68497177036055 22.89786380972945),,,,,
179870,Asalgam,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.09964199984441 22.899020000388962),,,,,
179871,Harniyav,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.7340019596033 22.920142650159296),,,,,
179872,Hirapur,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.71271983027341 22.9223804399081),,,,,
179874,Changodar,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382213,India,POINT (72.4466550002159 22.93046499961587),,,,,
179875,Vanch,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382449,India,POINT (72.69210024978804 22.9423894500662),,,,,
179877,Ghoda,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.06903500033587 22.94631300016503),,,,,
180481,Vagad,Primary Health Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382245,India,POINT (71.86972888024948 22.3599861100868),,,,,
180533,Gunjar,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382460,India,POINT (71.91645305014046 22.36656389002344),,,,,
186531,Kanz,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.1546889000443 23.296416919845562),,,,,
186532,Detroj,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.18815408007211 23.334229140134493),,,,,
186533,Nadisala,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.16719897972644 23.386257020254718),,,,,
186740,Nadiyana,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.10332199960978 23.18821700000288),,,,,
186741,Gunjala,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.12498400042219 23.42860602969589),,,,,
188555,Asyani,Sub Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380009,India,POINT (72.56632499964788 23.03744700004361),22.0,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
188557,V S Hospital  N.H.L. Medical College,District Hospital,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380006,India,POINT (72.57078211040597 23.021835919877272),21.0,1302530.0,"Paldi, Ahmedabad (M.Corp.) Ward No. 30",Paldi,30
188558,Amraiwadi  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380026,India,POINT (72.6244580000226 23.00909499960952),35.0,1302539.0,"Amraivadi, Ahmedabad (M.Corp.) Ward No. 39",Amraiwadi,39
188559,Kankariya  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380002,India,POINT (72.59782800038037 23.01082200003174),33.0,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
188560,Paldi UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380007,India,POINT (72.5650939995865 23.013577000290386),21.0,1302530.0,"Paldi, Ahmedabad (M.Corp.) Ward No. 30",Paldi,30
188562,Raikhad UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380001,India,POINT (72.58058600002335 23.015815999725646),42.0,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
188563,Gomtipur  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380021,India,POINT (72.61297699978724 23.017173000073416),45.0,1302538.0,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",Gomtipur,38
188564,Jamalpur UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380001,India,POINT (72.58261700015089 23.019088999837503),42.0,1302529.0,"Jamalpur, Ahmedabad (M.Corp.) Ward No. 29",Jamalpur,29
188565,Odhav UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382415,India,POINT (72.64955299982987 23.019712000284734),36.0,1302540.0,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",Odhav,40
188566,Rakhiyal  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380023,India,POINT (72.62269499968367 23.021516999683254),45.0,1302538.0,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",Gomtipur,38
188567,Bapunagar  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380024,India,POINT (72.62577709966052 23.03726599965012),3.0,1302526.0,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",Bapu Nagar,26
