objectid,facilityname,facilitytype,landline,address,street,landmark,locality,subdistrict,district,state,posatalcode,country,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
188640,Chandiyel,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382433,India,POINT (72.81339844028261 22.997526289601367),,,,,
188641,Ahmedabad City,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.39999999970351 23.000000000112255),,,,,
188642,Kuha,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382433,India,POINT (72.7942407295816 23.000734290146898),,,,,
188643,Shiyawada,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.23748900031711 23.0009969998636),,,,,
188646,Kunjad,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.72982948004297 23.006534789779835),,,,,
197250,SHC Tokda New,Sub Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382330,India,POINT (72.66715599986189 23.0707899997984),47.0,1302524.0,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",Nikol,24
198772,Khadiya UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380001,India,POINT (72.5941229996023 23.022243000018328),43.0,1302528.0,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Khadia,28
198773,Saraspur UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380018,India,POINT (72.6104960002962 23.032907000257406),9.0,1302527.0,"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",Saraspur-Rakhiyal,27
198774,Asarwa  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.60137599990124 23.04835999977616),28.0,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
198775,Juna Vadaj  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380027,India,POINT (72.5735429997867 23.056261000330984),25.0,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
198779,Shardaben Hospital,STH,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380018,India,POINT (72.61049899977094 23.03290200036451),9.0,1302527.0,"Sarsapur Rakhiyal, Ahmedabad (M.Corp.) Ward No. 27",Saraspur-Rakhiyal,27
198783,Jetalpur,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382426,India,POINT (72.59863766003079 22.89056709011068),,,,,
198825,Vejalpur  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380055,India,POINT (72.5182470003518 23.002889999661573),17.0,1302534.0,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",Maktampura,34
198826,Jodhpur  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380015,India,POINT (72.52556599987464 23.022527999617775),18.0,1302520.0,"Jodhpur, Ahmedabad (M.Corp.) Ward No. 20",Jodhpur,20
198827,Ognaj  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380060,India,POINT (72.51591699957517 23.112973999886254),12.0,1302501.0,"Gota, Ahmedabad (M.Corp.) Ward No. 1",Gota,1
200053,Vataman,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.41485299973267 22.52449000962408),,,,,
200056,Motiboru,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382230,India,POINT (72.3426897303649 22.468167399630683),,,,,
200057,Vejalka,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382230,India,POINT (72.3174588001838 22.549704000269617),,,,,
200058,Valthera,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.33700045982036 22.683785370167413),,,,,
200059,Rupal,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.36428730041183 22.80027549010279),,,,,
200060,Fangdi,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.33021560036208 22.92899017018288),,,,,
200061,Nidhrad,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382115,India,POINT (72.39044400018877 23.01925399988314),,,,,
200062,Chekhla,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382115,India,POINT (72.36717899976928 23.05961499994174),,,,,
201248,Detroj,Community Health Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.18921049974453 23.332888559733814),,,,,
201252,Nanodara,Primary Health Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.20299077028896 22.825063500270325),,,,,
201269,Madrisana,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382145,India,POINT (72.21623008974235 23.389019230041438),,,,,
203774,Bavla,Community Health Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.36621116027207 22.837219900019523),,,,,
203775,Sanand,Community Health Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.38386799993236 22.9867159997632),,,,,
203777,Kavitha,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.44040545042868 22.844061060216937),,,,,
203778,Kasindra,Primary Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.47856091960782 22.883443839642442),,,,,
203779,Modasar,Primary Health Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.3615809998543 22.900248000274445),,,,,
203780,Zolapur,Primary Health Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.2030969996646 22.984465999800396),,,,,
203781,Vasna UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380007,India,POINT (72.54877400039268 22.997952999665856),20.0,1302531.0,"Vasana, Ahmedabad (M.Corp.) Ward No. 31",Vasna,31
203782,Gandhigram  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380006,India,POINT (72.55166699961238 23.020679999867724),22.0,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
203783,Bodakdev  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380052,India,POINT (72.53863100034881 23.047821999865263),14.0,1302519.0,"Bodakdev, Ahmedabad (M.Corp.) Ward No. 19",Bodakdev,19
203784,Thaltej  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380059,India,POINT (72.51246399959052 23.050520000018444),1.0,1302508.0,"Thaltej, Ahmedabad (M.Corp.) Ward No. 8",Thaltej,8
203785,Ghatlodiya  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380061,India,POINT (72.54264699967484 23.071761000175865),13.0,1302507.0,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",Ghatlodia,7
203786,Chandlodiya  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382481,India,POINT (72.55349799972338 23.078670999803812),13.0,1302507.0,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",Ghatlodia,7
203790,Bavla 3,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.37190330991707 22.821203450325847),,,,,
203791,Bavla 1,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.34700868023229 22.821697830265286),,,,,
203792,Saroda,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.48746500004275 22.82503300028439),,,,,
203793,Badarkha1,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.45362897031283 22.839816130183372),,,,,
203794,Rajoda,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.39093223993558 22.849426590062215),,,,,
203795,Darsan,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.34869299983042 22.870471000253204),,,,,
203796,Miroli,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.52108076017008 22.871407769777925),,,,,
203797,Juval,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.31767299987003 22.87254500013445),,,,,
203798,Bhat,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.46506676966789 22.87459125961681),,,,,
203799,Girmatha,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.55111760974755 22.881771060350562),,,,,
203800,Paldikankaj,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.51731431013502 22.899763589605836),,,,,
203801,Palwada,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.3944300002759 22.91069399987847),,,,,
203802,Makhiyava,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.23909120042357 22.9428981900962),,,,,
203803,Shela,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,380058,India,POINT (72.44357693008139 23.008835159941373),,,,,
203804,Ghuma,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,380058,India,POINT (72.45007768026308 23.031744269676132),,,,,
203805,Iyava,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.32098587973834 23.032850580324354),,,,,
203806,Khoraj,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.21087665975669 23.03587481978139),,,,,
203807,Bopal,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,380058,India,POINT (72.46073711008569 23.037254240196187),,,,,
203808,Chharodi,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.26619899959238 23.046603999743773),,,,,
203809,Jkhavada,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.13569202999997 23.084368679798104),,,,,
203810,Andej,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382115,India,POINT (72.32751999963789 23.09185700028315),,,,,
203813,Hirapura,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.15037600033034 23.148912999905537),,,,,
203814,Khodiyar,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382421,India,POINT (72.541916430397 23.154273369929918),,,,,
203816,Manipura,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.15075999957158 23.193127999986118),,,,,
203823,Bhoyani,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382145,India,POINT (72.22773373021784 23.35734865017252),,,,,
209280,Gangad,Primary Health Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382240,India,POINT (72.27987800035989 22.676624379886174),,,,,
209286,Javaraj,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382230,India,POINT (72.26875798991806 22.564778999665748),,,,,
209287,Bagodra,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382230,India,POINT (72.19821653986254 22.641319089838383),,,,,
209288,Bhayla,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.31431600014484 22.761530000323045),,,,,
209289,Dehgamda,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.26877356041688 22.783685670027175),,,,,
209290,Salajda,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.39336458038261 22.79354807019968),,,,,
209291,Zamp,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.15867200036968 22.81339400017571),,,,,
209292,Bavla 2,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.37655645013817 22.816595970045682),,,,,
209293,Aadroda,Sub Centre,,NA,,,,Bavla,Ahmadabad,Gujarat,382220,India,POINT (72.3077940003151 22.820413999634034),,,,,
209294,Nanidevti,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382220,India,POINT (72.37758100027928 22.92090200026857),,,,,
209295,Vinchhiya,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.2863990003647 22.923508999928035),,,,,
209296,Hirapur,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382110,India,POINT (72.2653330003023 22.96076699985624),,,,,
209297,Bol,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382170,India,POINT (72.26595000007035 22.991316000321422),,,,,
209303,Rudatal,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.16118800002081 23.41041799961339),,,,,
211719,Madhupura UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.57973400007866 23.04347699972071),41.0,1302517.0,"Shapur, Ahmedabad (M.Corp.) Ward No. 17",Shahpur,17
211720,Stadium  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380013,India,POINT (72.57017099999292 23.04737899964954),25.0,1302510.0,"Sardar Patel Stadium, Ahmedabad (M.Corp.) Ward No. 10",S. P. Stadium,10
211721,Sardar Nagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382475,India,POINT (72.62034100041424 23.080535999733936),5.0,1302511.0,"Sardarnagar, Ahmedabad (M.Corp.) Ward No. 11",Sardar Nagar,11
211722,Sabarmati  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380005,India,POINT (72.59060500021866 23.083155000288727),27.0,1302504.0,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",Sabarmati,4
211723,Chandkheda  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382424,India,POINT (72.57587199984009 23.113131000327243),15.0,1302503.0,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",Chandkheda,3
211724,Pasunj,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.78338428035255 23.05393632988294),,,,,
211725,Kathwada 3,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.71432378029802 23.068531830398562),,,,,
211726,Railway Hospital,STH,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380019,India,POINT (72.5832930003685 23.093564999896937),27.0,1302504.0,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",Sabarmati,4
211727,GMERS  Medical College Sola,District Hospital,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380060,India,POINT (72.51461699003536 23.07799253962867),12.0,1302501.0,"Gota, Ahmedabad (M.Corp.) Ward No. 1",Gota,1
211728,Manipura,Primary Health Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.15126388976729 23.193921939848746),,,,,
211730,Rampura,Primary Health Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.13803689969116 23.2722581800039),,,,,
211733,Hansalpur,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.06620199959403 23.09058799997459),,,,,
211734,Sokali,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.11009200003495 23.09681799994769),,,,,
211737,Panar,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.15491899991106 23.227061010287542),,,,,
211739,Ashoknagar,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.09452902011424 23.245018880307384),,,,,
211742,Bhankoda,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382140,India,POINT (72.11494700966666 23.279125110193142),,,,,
211744,Sadatpura,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.13016747005439 23.335763329969915),,,,,
211747,Dekavada,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.14778199996309 23.355412999735925),,,,,
211750,Katosanroad,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382145,India,POINT (72.24999273968996 23.40858611978152),,,,,
211751,Odhav,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.12043998035529 23.4089610000734),,,,,
211752,Bantai,Sub Centre,,NA,,,,Detroj Rampura,Ahmadabad,Gujarat,382120,India,POINT (72.17211798983058 23.41232000023046),,,,,
211753,Zanzarva,Sub Centre,,NA,,,,Mandal,Ahmadabad,Gujarat,382120,India,POINT (72.0593359998077 23.417396000281368),,,,,
212342,Dholka,Community Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.44232961032624 22.72984321002686),,,,,
212343,Ghuma,Community Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,380058,India,POINT (72.46011908983147 23.036781009984498),,,,,
212344,Ganol,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.4444417903077 22.5839627602874),,,,,
212345,Chaloda,Primary Health Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.4485979897001 22.80217298035608),,,,,
212348,Keliyavasna,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.4623007401271 22.78305176997815),,,,,
212349,Chaloda1,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382260,India,POINT (72.44564902992983 22.800706229671658),,,,,
212350,Visalpur,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382210,India,POINT (72.48738790033686 22.91473058018709),,,,,
214762,Bareja-1,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.59187520994557 22.846728099885134),,,,,
214763,Bareja-2,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382425,India,POINT (72.59349287993955 22.852444120141076),,,,,
214774,Otariya,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382463,India,POINT (72.13235592957987 22.23743588986424),,,,,
214778,Cher,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382463,India,POINT (72.0915469996465 22.254599999635342),,,,,
215858,Fedra,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382465,India,POINT (72.15627701007553 22.454888789808816),,,,,
215868,Varna,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.4019749198045 22.505985849835422),,,,,
215869,Loliya,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382465,India,POINT (72.16979797023511 22.506164000029322),,,,,
215919,Pachchham,Sub Centre,,NA,,,,Dhandhuka,Ahmadabad,Gujarat,382465,India,POINT (72.17669298021521 22.396040650126086),,,,,
216070,Bavaliyari,Sub Centre,,NA,,,,Dholera,Ahmadabad,Gujarat,382455,India,POINT (72.11745661960119 22.074290829692718),,,,,
226077,Kauka,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382265,India,POINT (72.43618405041462 22.609217089780675),,,,,
226078,Ranoda,Sub Centre,,NA,,,,Dholka,Ahmadabad,Gujarat,382225,India,POINT (72.43913497030887 22.76612797028763),,,,,
226079,Moraiya,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382213,India,POINT (72.4200509996146 22.923800000214012),,,,,
226080,Telav,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382210,India,POINT (72.4360119996815 22.981518000061264),,,,,
226109,Singarwa,Community Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.69087197970681 23.021448929898014),,,,,
226114,B J Medical College Ahmedabad,District Hospital,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380016,India,POINT (72.60407671024281 23.044408540343817),29.0,1302515.0,"Asarva, Ahmedabad (M.Corp.) Ward No. 15",Asarwa,15
226116,Godashar  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382405,India,POINT (72.59462999976554 22.970079999917083),2.0,1302546.0,"Lambha, Ahmedabad (M.Corp.) Ward No. 46",Lambha,46
226117,Maninagar  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380008,India,POINT (72.60519899978173 22.99230600039214),33.0,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
226118,Navrangpura  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380006,India,POINT (72.5566469999344 23.02746299992556),22.0,1302518.0,"Navrangpura, Ahmedabad (M.Corp.) Ward No. 18",Navrangpura,18
226119,Kalupur UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380002,India,POINT (72.59661499986234 23.028625999751004),43.0,1302528.0,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",Khadia,28
226120,Dariyapur UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380001,India,POINT (72.59106700017603 23.036389999776677),30.0,1302521.0,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",Dariyapur,21
226121,Naroda Road UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382345,India,POINT (72.61256400023368 23.04145700035733),10.0,1302522.0,"India colony, Ahmedabad (M.Corp.) Ward No. 22",India colony,22
226122,Dudheshwar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.57978900033024 23.043077000230483),41.0,1302517.0,"Shapur, Ahmedabad (M.Corp.) Ward No. 17",Shahpur,17
226123,Potaliya UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382345,India,POINT (72.63298099984267 23.043269000332447),10.0,1302522.0,"India colony, Ahmedabad (M.Corp.) Ward No. 22",India colony,22
226124,Thakkarnagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382350,India,POINT (72.64197999986378 23.04857699965122),7.0,1302523.0,"Thakkarbapa Nagar, Ahmedabad (M.Corp.) Ward No. 23",Thakkarbapa Nagar,23
226125,Krishna nagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382345,India,POINT (72.63952000028915 23.061019999628833),8.0,1302513.0,"Saijpur Bogha, Ahmedabad (M.Corp.) Ward No. 13",Saijpur Bogha,13
226126,Saijpur UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.62786499997651 23.061713999774522),6.0,1302514.0,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",Kuber Nagar,14
226127,Kubernagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.62786800034955 23.061715999965124),6.0,1302514.0,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",Kuber Nagar,14
226128,Nava Vadaj  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380013,India,POINT (72.56664699986315 23.063536999968328),24.0,1302506.0,"Nava Vadaj, Ahmedabad (M.Corp.) Ward No. 6",New Wadaj,6
226129,Naroda Muthiya UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382330,India,POINT (72.65856899956943 23.074568999816254),0.0,1302512.0,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",Naroda,12
226130,Vehlal,Primary Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382330,India,POINT (72.7604663296701 23.076986079933196),,,,,
226131,Ranip  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382480,India,POINT (72.57713100038887 23.078670999803812),26.0,1302505.0,"Ranip, Ahmedabad (M.Corp.) Ward No. 5",Ranip,5
226132,Nobal Nagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382340,India,POINT (72.65648999976129 23.080069999893627),0.0,1302512.0,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",Naroda,12
226133,Kali  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380019,India,POINT (72.56831999979043 23.103988999749383),15.0,1302503.0,"Chandkheda, Ahmedabad (M.Corp.) Ward No. 3",Chandkheda,3
226134,Barejadi,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.67611909961099 22.890186859752706),,,,,
226135,Devdi,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.6673135401082 22.910382439895542),,,,,
226136,Oad,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382427,India,POINT (72.54899228022694 22.914299109615655),,,,,
226137,Chavalaj,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382435,India,POINT (72.77877812022422 22.925546000386877),,,,,
226138,Gamdi,Sub Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382440,India,POINT (72.62890211036189 22.927749160043977),32.0,1302547.0,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",Vatva,47
226139,Ranodra,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382433,India,POINT (72.79053868965073 22.951679639806812),,,,,
226140,Undrel,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382433,India,POINT (72.77215401967592 22.955295780075787),,,,,
226141,Gatrad,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382449,India,POINT (72.7048265898917 22.977776530230695),,,,,
226142,Bakrol,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.73639092040527 22.982745470125405),,,,,
226143,Singarva 2,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.69309924016439 23.019616180261295),,,,,
226144,Bhuvaladi,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.7203640199291 23.032460999657687),,,,,
226145,Kathwada 2,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.7060096199169 23.057456630104223),,,,,
226146,Padhol,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382330,India,POINT (72.72164427012594 23.091777430348415),,,,,
