facility_id,facility_name,description,latitude,longitude,kml_category
34,Indrapuri,"Address: CTM Flyover 2, Hatkeshwar, Ahmedabad, Gujarat 380008, India<br>Latitude: 22.989127<br>Longitude: 72.630652",22.989127,72.630652,Ward Office
35,Vatva,"Address: 16/17, Vatva, Ahmedabad, Gujarat 382440, India<br>Latitude: 22.952902<br>Longitude:  72.61703299999999",22.952902,72.61703299999999,Ward Office
36,Behrampura,"Address: Piplaj - Pirana Road, Calico Mills, Behrampura, Ahmedabad, Gujarat 380022, India<br>Latitude: 22.997042<br>Longitude: 72.574079",22.997042,72.574079,Ward Office
37,Rajpur,"Address: 11, Industrial Area, Rakhial, Ahmedabad, Gujarat 380021, India<br>Latitude: 23.017831<br>Longitude: 72.624324",23.017831,72.624324,Ward Office
38,Amraivadi,"Address: Ajod Dairy Road, Amraiwadi, Ahmedabad, Gujarat 380021, India<br>Latitude: 23.008722<br>Longitude: 72.628711",23.008722000000002,72.628711,Ward Office
39,Bapunagar,"Address: 3, Taj Mohammad Khan Pathan Road, Soni ni chali, Virat Nagar, Rakhial, Ahmedabad, Gujarat 380024, India<br>Latitude: 23.025917<br>Longitude: 72.635723",23.025917,72.635723,Ward Office
40,Vastral,"Address: 54, Ajay Tent No. 5 Road, Mahadev Nagar, Ahmedabad, Gujarat 382418, India<br>Latitude: 23.0002077<br>Longitude:  72.64621139999997",23.000207700000004,72.64621139999997,Ward Office
41,Odhav,"Address: 63/A, Rabadi Vasahat Road, G I D C Industrial Area, Odhav, Ahmedabad, Gujarat 382415, India<br>Latitude: 23.0240978<br>Longitude:  72.65000850000001",23.0240978,72.65000850000001,Ward Office
42,Naroda,"Address: Gujarat State Highway 68, GIDC Naroda, Ahmedabad, Gujarat 382330, India<br>Latitude: 23.074913<br>Longitude: 72.655845",23.074913,72.655845,Ward Office
43,Asarva,"Address: Jahangirpura, Asarwa, Ahmedabad, Gujarat 380016, India<br>Latitude: 23.0414554<br>Longitude:  72.601811",23.0414554,72.601811,Ward Office
44,SARASPUR,"Address: Saraspur Bal Bhavan, Nr, Maniben K.K. Eye Hospital,<br>Latitude: 23.029737<br>Longitude: 72.611924",23.029737,72.611924,Ward Office
45,NARANPURA,"Address: Naranpura Ward Office, Nr.Kameshwar Mahadev Mandir, Naranpura,Ahmedabad<br>Latitude: 23.057469<br>Longitude: 72.556409",23.057469,72.556409,Ward Office
46,Shahpur Ward office,"Address: Dudheshwar Sub Zonal Office, Dudheshwar water works compound, Shahibaug, Ahmedabad<br>Latitude: 23.051609<br>Longitude: 72.583484",23.051609,72.583484,Ward Office
47,CHANDLODIA,Address: Old Nagarpalika Office<br>Latitude: 23.080566<br>Longitude: 72.551097,23.080566,72.551097,Ward Office
48,North Zone,"Rajiv Gandhi Bhavan,Memco char rasta ,Naroda road",23.057114700000003,72.6334883,Zonal Office
49,New West Zone,"Rajamata Vijaya Raje Scindia Bhavan, Judges Bungalow Road, Bodakdev, Ahmedabad.",23.039006,72.514347,Zonal Office
50,West zone,"Dr. Ramanbhai Patel Bhavan, Usmanpura Char Rasta, Ashram Road, Ahmedabad",23.047767,72.570012,Zonal Office
51,Central Zone,"Central Zone-Health Dept. <br>B Block, 5th Floor, Sardar Patel Bhavan, Danapith, khamasa, AMC.",23.021259,72.5859,Zonal Office
52,East Zone,Harubhai Mahetabhavan Viratnagar Char Rasta,23.026649,72.639183,Zonal Office
53,South Zone,"Dr.Shyama Prasad Mukharji Bhavan, Opp.Maninagar Fire Station, Rambaug, Maninagar, Ahmedabad-08.",22.998122,72.603216,Zonal Office
54,Khokhra Vyayam shala,"Nearer to Khokhra Swimming pool,57-Khokhra ward,Ahmedabad",22.9987,72.616238,Municipal Gym
55,Maninagar Vyayam shala,"Opposite to L.G Hospital,Maninagar,Ahmedabad",23.000651,72.606545,Municipal Gym
56,Ambubhai Purani Vyayam vidhyalaya,"In Kankariya Lake, Kankariya,Ahmedabad",23.008956,72.599178,Municipal Gym
57,Swami Vivekanand Vyayam Vidhyalaya,"C.T.M Cross Road,Bagefirdosh,Ahmedabad<br>New_Name-Bagefirdosh Vyayam Shala",22.991723,72.633436,Municipal Gym
58,"Isanpur Vyayam shala,isanpur","Opposite To Smruti Temple,Isanpur,Ahmedabad",22.975236,72.61033,Municipal Gym
59,Krantivir Mahadev Desai Vyayam Vidhyalaya,"Swastik Cross Road,Nr. Rabari Colony,Bhaipura,Ahmedabad<br>New Name- Bhaipura Vyayam Shala",23.007232,72.62947,Municipal Gym
60,Krantivir Chandrashekhar Aaazad Vyayam Vidhyalaya,"Opposite To Tejendra Park,Nikol,Ahmedabad<br>New Name-Nikol Vyayam Shala",23.029095,72.646766,Municipal Gym
61,Krantivir Vithhalbhai Patel Vyayam Vidhyalaya,"Nearer To Gajanand Circle,Odhav,Ahmedabad<br>New name-Odhav Vyayam Shala",23.029486,72.653247,Municipal Gym
62,Krantivir Sadarsinh Rana Vyayam Vidhyalaya,"In the Payal Nagar Park,Naroda Gam,Muthiya,Ahmedabad<br>New name-Naroda Muthiya Vyayam Shala",23.067594,72.651612,Municipal Gym
63,Krantivir Kinnarivala Vyayam Shala,"Opposite to Saijpur Tower,Saijpur Bogha,Saijpur,Ahmedabad<br>New Name-Saijpur Bogha Vyayam Shala",23.060856,72.64021,Municipal Gym
64,Memco Sports Center,veer savarkar vyaym shala,23.053378,72.632086,Municipal Gym
65,Krantivir Chitranjandas Vyayam Vidhyalaya,"Opposite to Sachidanand Society,Limda Bus Stand Road,Kubernagar,Ahmedabad<br>New Name-Kubernagar Vyayam Shala",23.061065,72.629681,Municipal Gym
66,Krantivir Mangalpandey Vyayam Vidhyalaya,"In Jethabhai Park,Oppo-Civil Hospital,Girdharnagar,Ahmedabad<br>New Name-Girdharnagar Vyayam Shala",23.049366,72.600763,Municipal Gym
67,Rajmata Vijayaraja Sindhiya Mahila Vyayam Vidhyalaya,"Nearer To Shahibag Post Office,Circuit House,Shahibag,Ahmedabad,<br>New Name- Shahibag Mahila Vyayam Shala",23.062216,72.595753,Municipal Gym
68,Krantivir Medam Kama Vyayam Vidhyalaya,"Nearer Hajipura Swimming Pool,Hajipura,Ahmedabad<br>New Name-Hajipura Vyayam Shala",23.042031,72.591156,Municipal Gym
69,Krantivir Sukhdev Vyayam Vidhyalaya,"Nearer Dariyapur Mustar Station,Opp- Kuti Masjid, Dariyapur,ahmedabad<br>New Name-Dariyapur Vyayam Shala",23.037135,72.591865,Municipal Gym
70,"Umakant Kadiya,Shahpur Vyayam Shala","Jivan KamalShi Ni Pol,Shahpur,Ahmedabad",23.039078,72.58148,Municipal Gym
71,Manikba Sanskar Vadi Vyayam Shala,"Kiran Nagar Dudheswar Road,Ahmedabad<br>New Name-Dudheshwar Vyayam Shala",23.04169,72.579645,Municipal Gym
72,Sardar Patel Vyayam Vidhyalaya,"Nr Swimming Pool,Sardar Patel Stadium,Navrangpura,Ahmedabad",23.040069,72.564528,Municipal Gym
73,Cricketer Padamshree Jashubhai patel Vyayam Vidhyalaya,"Bhimjipura pumping Station,Swimming Pool,Vadaj,Ahmedabad<br>New Name-Nava Vadaj Vyayam Shala",23.063163,72.568102,Municipal Gym
74,Cricketer Vinu Mankad Vyayam Shala,"Nearer Nishant School,Swimming Pool,Nirnyan Nagar road, Ranip,Ahmedabad<br>New Name-Ranip Vyayam Shala",23.080322,72.56314,Municipal Gym
75,Krantivir Mahadev Govind Rnde Vyayam Vidhyalaya,"Nearer Kothari Tower Parking,Sabarmati,Ahmedabad<br>New name-Sabarmati Vyayam Shala",23.084176,72.584535,Municipal Gym
