ward_id,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities,healthcare_gap,hospital_gap,health_centre_gap,healthcare_vulnerability,heat_exposure,healthcare_facilities_per_km2,area_km2,facility_density_gap,vulnerability_score,risk_category
1,Gota,1,1,0,2,0.33333333333333337,0.0,0.6666666666666667,0.6665308698280853,39.43,0.176384658289421,11.338854633934758,0.9442181163801423,0.5304154349140426,Moderate
2,Chandlodiya,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,4.763668056029316,1.0,0.6971499999999999,High
3,Chandkheda,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.7966416820430269,39.43,0.5447055689994683,3.671708375726102,0.8277361367383781,0.5954708410215135,Moderate
4,Sabarmati,2,1,0,3,0.0,0.0,0.33333333333333337,0.4858389734771631,39.43,0.8651400983216747,3.4676464607522397,0.7263982891286052,0.44006948673858154,Moderate
5,Ranip,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8777504266640003,39.43,0.38076030775130676,2.6263241720383026,0.8795840444400005,0.6360252133320001,High
6,New Wadaj,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7722457175442904,39.43,0.9367775083901432,1.0674893355611248,0.7037428625738174,0.5832728587721452,Moderate
7,Ghatlodia,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.5424914813186323,39.43,1.884094913111474,1.0615176475887382,0.40415246886438716,0.46839574065931616,Moderate
8,Thaltej,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.931250301596581,39.43,0.09881222275360861,10.120205498195618,0.9687505026609684,0.6627751507982904,High
9,Naranpura,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8391775172736182,39.43,0.5840422397018593,1.7122049263260102,0.8152958621226971,0.6167387586368092,High
10,S. P. Stadium,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.6927602479311818,39.43,1.0921679967445574,1.8312201107901276,0.6546004132186363,0.543530123965591,Moderate
11,Sardar Nagar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8902295573522687,39.43,0.3149944156921724,3.1746594548433134,0.9003825955871146,0.6422647786761344,High
12,Naroda,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.8267311677657251,39.43,0.3861318734764178,5.179577593513906,0.8778852796095418,0.6105155838828625,High
13,Saijpur Bogha,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7740931227994259,39.43,0.9270415534078833,1.0787002980868714,0.7068218713323765,0.5841965613997129,Moderate
14,Kuber Nagar,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.40495788193808424,39.43,2.6089066069154763,0.7666046744251265,0.1749298032301404,0.3996289409690421,Low
15,Asarwa,0,1,0,1,0.6666666666666667,0.0,1.0,0.5201905541750292,39.43,1.211111862343324,0.8256875612341428,0.6169842569583821,0.4572452770875146,Moderate
16,Shahibag,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.6491650230906675,39.43,1.3219178825960036,1.5129532827503382,0.5819417051511124,0.5217325115453337,Moderate
17,Shahpur,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.5640296689705413,39.43,1.7705871568703722,1.1295687943061385,0.4400494482842354,0.47916483448527064,Moderate
18,Navrangpura,3,0,0,3,0.0,1.0,0.0,0.7137109186483441,39.43,0.7182529966961407,4.176801229928122,0.7728515310805737,0.5540054593241721,Moderate
19,Bodakdev,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9045540980964127,39.43,0.2395030834905089,4.175311588585991,0.9242568301606879,0.6494270490482064,High
20,Jodhpur,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8950588562835372,39.43,0.28954367235364226,3.453710426034184,0.9084314271392288,0.6446794281417686,High
