ward_id,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities,healthcare_gap,hospital_gap,health_centre_gap,healthcare_vulnerability,heat_exposure,healthcare_facilities_per_km2,area_km2,facility_density_gap,vulnerability_score,risk_category,cluster,final_priority_score,final_priority_category
2,Chandlodiya,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,4.763668056029316,1.0,0.6971499999999999,High,2,0.81829,Extreme
41,Vastral,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,4.839989533108537,1.0,0.6971499999999999,High,2,0.81829,Extreme
25,Virat Nagar,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,1.300389287593235,1.0,0.6971499999999999,High,2,0.81829,Extreme
32,Vejalpur,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,0.9893714281263832,1.0,0.6971499999999999,High,2,0.81829,Extreme
45,Isanpur,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,1.4093482923719274,1.0,0.6971499999999999,High,2,0.81829,Extreme
8,Thaltej,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.931250301596581,39.43,0.0988122227536086,10.120205498195618,0.9687505026609684,0.6627751507982904,High,2,0.7701652111176066,Extreme
48,Ramol Hathijan,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9312105854472468,39.43,0.0990215296400711,10.098813900722948,0.9686843090787448,0.6627552927236233,High,2,0.7701374098130727,Extreme
33,Sarkhej,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9268643686170308,39.43,0.1219263964983278,8.201669439264654,0.961440614361718,0.6605821843085153,High,2,0.7670950580319216,Extreme
19,Bodakdev,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9045540980964129,39.43,0.2395030834905089,4.175311588585991,0.924256830160688,0.6494270490482064,High,2,0.751477868667489,Extreme
20,Jodhpur,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8950588562835372,39.43,0.2895436723536422,3.453710426034184,0.9084314271392288,0.6446794281417686,High,2,0.744831199398476,High
35,Baherampura,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8928402726036919,39.43,0.3012357636104499,3.3196589542175783,0.90473378767282,0.643570136301846,High,2,0.7432781908225843,High
11,Sardar Nagar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8902295573522687,39.43,0.3149944156921724,3.1746594548433134,0.9003825955871146,0.6422647786761344,High,2,0.741450690146588,High
5,Ranip,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8777504266640003,39.43,0.3807603077513067,2.6263241720383026,0.8795840444400005,0.6360252133320001,High,2,0.7327152986648001,High
34,Maktampura,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.857969882396046,39.43,0.2215016611832524,9.02927765559899,0.92994980399341,0.626134941198023,High,2,0.7188689176772322,High
31,Vasna,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8519212181593798,39.43,0.5168820441864148,1.934677381904463,0.8365353635989664,0.6231106090796898,High,2,0.7146348527115658,High
40,Odhav,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8512173130480223,39.43,0.52059167338494,1.9208912687709705,0.8353621884133706,0.6227586565240111,High,2,0.7141421191336156,High
